baseline_average,baseline_character_consistency,baseline_detail_completeness,baseline_image_path,baseline_name,baseline_overall_quality,baseline_scene_object_fidelity,baseline_semantic_alignment,baseline_style_lighting_consistency,delta_baseline_minus_dn,dn_average,dn_character_consistency,dn_detail_completeness,dn_overall_quality,dn_reference_image,dn_scene_object_fidelity,dn_semantic_alignment,dn_style_lighting_consistency,game_id,id,input_text_path,segment_index,summary,theme_id,winner
1.1667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419613_9xv3kl/seg_007.png,sdm_v2,1,1,1,2,-3.8333,5,5,5,5,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_007.png,5,5,5,game_1776419613_9xv3kl,game_1776419613_9xv3kl/seg_007,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_007.json,7,"DN matches prompt fully, baseline misses key required elements",theme_012_game_1776419613_9xv3kl,dn
2.1667,2,2,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419613_9xv3kl/seg_008.png,sdm_v2,2,2,2,3,-2.8333,5,5,5,5,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_008.png,5,5,5,game_1776419613_9xv3kl,game_1776419613_9xv3kl/seg_008,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_008.json,8,DN aligns far better with the given prompt,theme_012_game_1776419613_9xv3kl,dn
1.8333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419613_9xv3kl/seg_009.png,sdm_v2,2,2,2,3,-3.1667,5,5,5,5,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_009.png,5,5,5,game_1776419613_9xv3kl,game_1776419613_9xv3kl/seg_009,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_009.json,9,"DN fits prompt perfectly, baseline has critical mismatches",theme_012_game_1776419613_9xv3kl,dn
1.1667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419613_9xv3kl/seg_010.png,sdm_v2,1,1,1,2,-3.8333,5,5,5,5,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_010.png,5,5,5,game_1776419613_9xv3kl,game_1776419613_9xv3kl/seg_010,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_010.json,10,"DN matches prompt perfectly, baseline is misaligned",theme_012_game_1776419613_9xv3kl,dn
1.3333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419881_ts9erz/seg_001.png,sdm_v2,1,2,1,2,-3.3333,4.6667,4,4,5,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_001.png,5,5,5,game_1776419881_ts9erz,game_1776419881_ts9erz/seg_001,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_001.json,1,DN matches prompt better than baseline,theme_018_game_1776419881_ts9erz,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419881_ts9erz/seg_002.png,sdm_v2,1,1,1,1,-3.3333,4.3333,4,4,4,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_002.png,5,4,5,game_1776419881_ts9erz,game_1776419881_ts9erz/seg_002,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_002.json,2,DN aligns far better with the prompt than baseline,theme_018_game_1776419881_ts9erz,dn
1.1667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419881_ts9erz/seg_003.png,sdm_v2,1,1,1,2,-2.8333,4,4,3,4,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_003.png,4,4,5,game_1776419881_ts9erz,game_1776419881_ts9erz/seg_003,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_003.json,3,DN aligns far better with the prompt than baseline,theme_018_game_1776419881_ts9erz,dn
1.3333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419881_ts9erz/seg_004.png,sdm_v2,1,1,2,2,-2.8333,4.1667,4,4,4,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_004.png,4,4,5,game_1776419881_ts9erz,game_1776419881_ts9erz/seg_004,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_004.json,4,DN matches prompt requirements far better than baseline,theme_018_game_1776419881_ts9erz,dn
1.3333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419881_ts9erz/seg_005.png,sdm_v2,1,1,2,2,-3.6667,5,5,5,5,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_005.png,5,5,5,game_1776419881_ts9erz,game_1776419881_ts9erz/seg_005,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_005.json,5,DN outperforms baseline on all prompt requirements,theme_018_game_1776419881_ts9erz,dn
1.1667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419881_ts9erz/seg_006.png,sdm_v2,1,1,1,2,-3.8333,5,5,5,5,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_006.png,5,5,5,game_1776419881_ts9erz,game_1776419881_ts9erz/seg_006,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_006.json,6,"DN matches prompt, baseline misses core elements",theme_018_game_1776419881_ts9erz,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419881_ts9erz/seg_007.png,sdm_v2,1,1,1,1,-4,5,5,5,5,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_007.png,5,5,5,game_1776419881_ts9erz,game_1776419881_ts9erz/seg_007,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_007.json,7,DN matches the prompt far better than baseline,theme_018_game_1776419881_ts9erz,dn
1.8333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419881_ts9erz/seg_008.png,sdm_v2,2,2,2,3,-3.0,4.8333,5,4,5,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_008.png,5,5,5,game_1776419881_ts9erz,game_1776419881_ts9erz/seg_008,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_008.json,8,DN better matches all prompt requirements,theme_018_game_1776419881_ts9erz,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419881_ts9erz/seg_009.png,sdm_v2,1,1,1,1,-3.1667,4.1667,4,4,4,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_009.png,4,4,5,game_1776419881_ts9erz,game_1776419881_ts9erz/seg_009,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_009.json,9,DN far outperforms baseline on prompt alignment,theme_018_game_1776419881_ts9erz,dn
1.1667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419881_ts9erz/seg_010.png,sdm_v2,1,1,1,2,-3.1667,4.3333,4,4,4,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_010.png,4,5,5,game_1776419881_ts9erz,game_1776419881_ts9erz/seg_010,DN-experiment-2.0/theme_018_game_1776419881_ts9erz/game_1776419881_ts9erz_010.json,10,DN matches the prompt far better than baseline,theme_018_game_1776419881_ts9erz,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776420257_ds08b3/seg_001.png,sdm_v2,1,1,1,1,-3.3333,4.3333,4,4,4,DN-experiment-2.0/theme_054_game_1776420257_ds08b3/game_1776420257_ds08b3_001.png,5,4,5,game_1776420257_ds08b3,game_1776420257_ds08b3/seg_001,DN-experiment-2.0/theme_054_game_1776420257_ds08b3/game_1776420257_ds08b3_001.json,1,DN aligns far better with the prompt than baseline,theme_054_game_1776420257_ds08b3,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776420257_ds08b3/seg_002.png,sdm_v2,1,1,1,1,-4,5,5,5,5,DN-experiment-2.0/theme_054_game_1776420257_ds08b3/game_1776420257_ds08b3_002.png,5,5,5,game_1776420257_ds08b3,game_1776420257_ds08b3/seg_002,DN-experiment-2.0/theme_054_game_1776420257_ds08b3/game_1776420257_ds08b3_002.json,2,"DN fits prompt perfectly, baseline is fully mismatched",theme_054_game_1776420257_ds08b3,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776420517_nejnnv/seg_001.png,sdm_v2,1,1,1,1,-4,5,5,5,5,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_001.png,5,5,5,game_1776420517_nejnnv,game_1776420517_nejnnv/seg_001,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_001.json,1,"DN fits prompt perfectly, baseline is entirely mismatched",theme_073_game_1776420517_nejnnv,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776420517_nejnnv/seg_002.png,sdm_v2,1,1,1,1,-3.6667,4.6667,4,4,5,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_002.png,5,5,5,game_1776420517_nejnnv,game_1776420517_nejnnv/seg_002,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_002.json,2,"DN fits prompt, baseline has no matching elements",theme_073_game_1776420517_nejnnv,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776420517_nejnnv/seg_003.png,sdm_v2,1,1,1,1,-4,5,5,5,5,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_003.png,5,5,5,game_1776420517_nejnnv,game_1776420517_nejnnv/seg_003,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_003.json,3,"DN matches prompt, baseline is completely unrelated",theme_073_game_1776420517_nejnnv,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776420517_nejnnv/seg_004.png,sdm_v2,1,1,1,1,-3,4,4,4,4,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_004.png,4,4,4,game_1776420517_nejnnv,game_1776420517_nejnnv/seg_004,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_004.json,4,"DN fits prompt, baseline is completely mismatched",theme_073_game_1776420517_nejnnv,dn
1.1667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776420517_nejnnv/seg_005.png,sdm_v2,1,1,2,1,-3.6667,4.8333,5,4,5,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_005.png,5,5,5,game_1776420517_nejnnv,game_1776420517_nejnnv/seg_005,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_005.json,5,DN matches the prompt far better than baseline,theme_073_game_1776420517_nejnnv,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776420517_nejnnv/seg_006.png,sdm_v2,1,1,1,1,-3.1667,4.1667,4,4,4,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_006.png,4,4,5,game_1776420517_nejnnv,game_1776420517_nejnnv/seg_006,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_006.json,6,DN aligns to the prompt far better than baseline,theme_073_game_1776420517_nejnnv,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776420517_nejnnv/seg_007.png,sdm_v2,1,1,1,1,-3,4,4,4,4,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_007.png,4,4,4,game_1776420517_nejnnv,game_1776420517_nejnnv/seg_007,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_007.json,7,DN matches the prompt far better than baseline,theme_073_game_1776420517_nejnnv,dn
1.3333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776420517_nejnnv/seg_008.png,sdm_v2,1,2,1,2,-3.1667,4.5,4,4,4,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_008.png,5,5,5,game_1776420517_nejnnv,game_1776420517_nejnnv/seg_008,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_008.json,8,DN aligns far better to the given prompt than baseline.,theme_073_game_1776420517_nejnnv,dn
1.6667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776420517_nejnnv/seg_009.png,sdm_v2,2,2,2,2,-2.3333,4,4,4,4,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_009.png,4,4,4,game_1776420517_nejnnv,game_1776420517_nejnnv/seg_009,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_009.json,9,DN better aligns with all prompt requirements,theme_073_game_1776420517_nejnnv,dn
1.3333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776420517_nejnnv/seg_010.png,sdm_v2,1,1,2,2,-3.6667,5,5,5,5,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_010.png,5,5,5,game_1776420517_nejnnv,game_1776420517_nejnnv/seg_010,DN-experiment-2.0/theme_073_game_1776420517_nejnnv/game_1776420517_nejnnv_010.json,10,DN aligns far better with the prompt than baseline,theme_073_game_1776420517_nejnnv,dn
